B.Sc. (Nutrition and Dietetics) (Honours/Honours with Research)   (4 Years )
"B.Sc. (Physics, Chemistry & Mathematics)   (3 Years )"
B.Sc. (Physics) (Engineering Physics / Semiconductor Physics) (Honours/Honours with Research)   (4 Years )
B.Sc. (Physics) (Honours/Honours with Research)   (4 Years )
B.Sc. Physics (Radiation Technology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Pulmonary Function Test Technology) (Honours/Honours with Research)   (4 Years )
B.Sc. (UI & UX)   (3 Years )
B.Sc. (Yoga) (Honours/Honours with Research)   (4 Years )
B.Sc. (Zoology) (Honours/Honours with Research)   (4 Years )
B.Tech (Aeronautical Engineering)   (4 Years )
B.Tech (Aerospace Engineering)   (4 Years )
B.Tech. (Artificial Intelligence)   (4 Years )
B.Tech (Artificial Intelligence & Machine Learning)   (4 Years )
B.Tech (Automobile Engineering)   (4 Years )
B.Tech (Automobile Engineering) for Working Professionals (Part Time)   (3 Years )
B.Tech (Avionics)   (4 Years )
B.Tech (Bioinformatics)   (4 Years )
B.Tech ( Biomedical Engineering)   (4 Years )
B.Tech (Biotechnology)   (4 Years )
B.Tech. (Biotechnology) - 3 Continent   (4 Years )
B.Tech (Biotechnology) - International   (4 Years )
B.Tech (Chemical Engineering)   (4 Years )
B. Tech (Civil Engg.) - 3 Continent   (4 Years )
B.Tech (Civil Engineering)   (4 Years )
B.Tech (Computer Science & Business Systems)   (4 Years )
B. Tech (Computer Science & Engg.) - 3 Continent    (4 Years )
B.Tech(Computer Science Engg. - International)   (4 Years )
B.Tech. - Computer Science & Engg. + MBA (Dual Degree)   (5 Years )
B.Tech (Computer Science & Engineering)   (4 Years )
B.Tech Computer Science & Engineering (Artificial Intelligence & Data Science)   (4 Years )
B.Tech Computer Science & Engineering (Artificial Intelligence & Machine Learning)   (4 Years )
B.Tech Computer Science & Engineering (Artificial Intelligence & Machine Learning) Integrated   (4 Years )
B.Tech Computer Science & Engineering (Cloud Computing)   (4 Years )
B.Tech Computer Science & Engineering (Cyber Security)   (4 Years )
B.Tech Computer Science & Engineering  (Cyber Security with Blockchain Technology)   (4 Years )
B.Tech Computer Science & Engineering (Data Analytics)   (4 Years )
B.Tech Computer Science & Engineering (Data Science)   (4 Years )
B.Tech Computer Science & Engineering (DevOps)   (4 Years )
B.Tech Computer Science & Engineering (Full Stack Development)   (4 Years )
B.Tech Computer Science & Engineering (Internet of Things)   (4 Years )
B.Tech Computer Science & Engineering  (Internet of Things and Cyber Security Including Block Chain Technology)   (4 Years )
B.Tech Computer Science & Engineering (Robotics)   (4 Years )
B.Tech Computer Science & Engineering (Twinning Programme for International Degree)   (4 Years )
B.Tech (Computer Science & Social Sciences)   (4 Years )
B.Tech (Defence Technology)   (4 Years )
B.Tech (Electrical & Computer Engineering)   (4 Years )
B.Tech (Electrical & Electronics Engineering)   (4 Years )
B.Tech (Electric Vehicle Technology)   (4 Years )
B.Tech (Electronics & Communication Engg.)   (4 Years )
B. Tech (Electronics & Communications Engg.) - 3 Continent   (4 Years )
B.Tech Electronics Engineering (VLSI Design and Technology)   (4 Years )
B.Tech (Electronics & Telecommunication)   (4 Years )
B.Tech (Embedded System & VLSI)   (4 Years )
B.Tech (Food Science Technology and Processing)   (4 Years )
B.Tech (Food Technology)   (4 Years )
B.Tech (Information Technology)   (4 Years )
B.Tech (International)   (4 Years )
B.Tech (Internet of Things)   (4 Years )
B.Tech (Mechanical & Automation Engg.)   (4 Years )
B.Tech (Mechanical Engineering)   (4 Years )
B.Tech (Mechanical Engineering) - 3 Continent   (4 Years )
B. Tech. (Mechatronics)   (4 Years )
B.Tech + M.Tech (Artificial Intelligence & Machine Learning) Integrated   (5 Years )
B.Tech. + M.Tech (Biotechnology) Dual Degree   (5 Years )
B.Tech + M.Tech (Data Sciences) Integrated   (5 Years )
B.Tech + M.Tech (Network & Cyber Security) Integrated   (5 Years )
B.Tech (Nanotechnology)   (4 Years )
B.Tech (Nuclear Science & Technology)   (4 Years )
B. Tech. (Robotics)   (4 Years )
B.Tech (Robotics & Automation)   (4 Years )
B.Tech (Solar and Alternate Energy)   (4 Years )
B.Voc (Building Construction Technology)   (3 Years )
B.Voc (Software Development)   (3 Years )
Certificate Course (English Language Proficiency and Spoken Hindi)   (1 Years )
Certificate Course in Care Giving   (1 Years )
Certificate in Business Analytics   (0.5 Years )
Certificate in Business Finance   (0.5 Years )
Certificate in Life Skills Training for Mental Health Professionals   (0.5 Years )
Certificate  in Photography   (0.5 Years )
Certificate in Podcast & Vodcast   (0.5 Years )
Certificate in Real Estate Management   (0.5 Years )
Diploma (Electronic Manufacturing Services)   (1 Years )
Diploma in - Automobile Engineering   (3 Years )
Diploma in - Civil Engineering   (3 Years )
Diploma in Clinical Acupuncture   (1 Years )
Diploma in Clinical ART   (1 Years )
Diploma in - Computer Engineering   (3 Years )
Diploma in - Electrical Engineering   (3 Years )
Diploma in - Electronics Engineering   (3 Years )
Diploma in Elementary Education   (2 Years )
Diploma in Homoeopathic Oncology   (1 Years )
Diploma in - Information Technology   (3 Years )
Diploma in - Mechanical Engineering   (3 Years )
Diploma in Modern Office Management   (3 Years )
Diploma in Pharmacy   (2 Years )
Doctor of Pharmacy   (6 Years )
English Enhancement Programme   (1 Years )
Executive MBA (Sustainability Management)   (2 Years )
Integrated B.A. B.Ed. Special Education   (4 Years )
Integrated B.A. - M.A. (Clinical Psychology)   (5 Years )
Integrated BBA - MBA   (5 Years )
Integrated BBA - MBA (International Business)    (5 Years )
Integrated B.Com. B.Ed. Special Education   (4 Years )
Integrated B.Ed. M.Ed. - Special Education (Intellectual Disability)   (3 Years )
Integrated B.Ed. M.Ed. - Special Education (Specific Learning Disability)   (3 Years )
Integrated B.Sc. B.Ed. Special Education   (4 Years )
Integrated B.Tech (Aerospace Engineering) - M.Tech (Avionics)   (5 Years )
Integrated B.Tech (Automobile Engineering) - M.Tech (Electric Vehicle Technology)   (5 Years )
Integrated B.Tech (Civil Engineering) - MBA   (5 Years )
Integrated B.Tech (Computer Science & Engineering) - MBA   (5 Years )
Integrated B.Tech (Electronics & Communication Engineering) - MBA   (5 Years )
Integrated B.Tech (Mechanical Engineering) - MBA   (5 Years )
Integrated B.Tech (Mechanical Engineering) - M.Tech (Automobile Engineering)   (5 Years )
Integrated B.Tech - M.Tech (Aerospace Engineering)   (5 Years )
Integrated B.Tech-M.Tech (Biotechnology)   (5 Years )
Integrated B.Tech - M.Tech (Defence Technology)   (5 Years )
Integrated B.Tech - M.Tech (Nanotechnology)    (5 Years )
Integrated B.Tech - M.Tech (Nuclear Science & Technology)   (5 Years )
Integrated Master of Science (Biotechnology) - Doctor of Philosophy (Biotechnology)   (5 Years )
Integrated M.Sc. (Nanoscience by Research) - M.Tech. (Nanotechnology)   (3 Years )
LLB   (3 Years )
LL.B (Hons)   (3 Years )
LL.M.   (1 Years )
LLM (Business Law)   (1 Years )
LLM (Constitutional Law)   (1 Years )
LLM (Corporate Banking & Insurance Law)   (1 Years )
LLM (Criminal Law)   (1 Years )
LLM (Cyber Law & Cyber Security)   (1 Years )
LLM (Family Law)   (1 Years )
LLM (for Executives)   (1 Years )
LLM (Human Rights)   (1 Years )
LLM (Intellectual Property)   (1 Years )
LLM (International Trade & Economic Law)   (1 Years )
LLM (Tax Law)   (1 Years )
MA (Advertising & Marketing Management)   (2 Years )
M.A. (Advertising & PR)   (2 Years )
M.A. (Applied Linguistics)   (2 Years )
M.A. (Applied Psychology)   (2 Years )
M.A. (Applied Psychology) (1Yr)   (1 Years )
M.A. (Business Economics)   (2 Years )
M.A. (Clinical Psychology)   (2 Years )
M.A. (Clinical Psychology) (1Yr)   (1 Years )
M.A. (Clinical Psychology) - RCI Regulated   (2 Years )
M.A. (Counselling Psychology)   (2 Years )
M.A. (Counselling Psychology) (1Yr)   (1 Years )
M.A. (Defence & Strategic Studies)   (2 Years )
M.A. (Development Studies)   (2 Years )
MA (Economics)   (2 Years )
M.A. (English)   (2 Years )
M.A. (English) (1Yr)   (1 Years )
M.A. (Fashion Communication & Journalism)   (2 Years )
M. A. (Fashion Retail Management)   (2 Years )
"M.A. (Film, Television & Web Series)   (2 Years )"
M.A. (Film & TV)   (2 Years )
MA (Film & TV Production)   (2 Years )
M.A. (French)   (2 Years )
M.A. (Game Design & Development)   (2 Years )
M.A. (Gender Studies)   (2 Years )
M.A. (Geography)   (2 Years )
M.A. (History)   (2 Years )
M.A.(Hons) (Psychology)   (2 Years )
M.A. (International Relations)   (2 Years )
M.A. (International Relations) (1Yr)   (1 Years )
M.A. (International Relations) 3 Continent   (2 Years )
M.A. (Journalism & Mass Communication)   (2 Years )
M.A. (Journalism & Mass Communication) (1Yr)   (1 Years )
M.A. (Organisational Psychology)   (2 Years )
M.A. (Organisational Psychology) (1Yr)   (1 Years )
M.A. (Political Science)   (2 Years )
M.A. (Political Science) (1Yr)   (1 Years )
MA (PR & Event Management)   (2 Years )
M.A. (Psychology)   (2 Years )
M.A. (Public Administration)   (2 Years )
M.A. (Public Policy & Governance)   (2 Years )
M.A. (Sanskrit)   (2 Years )
M.A. (Sociology)   (2 Years )
M.A. (Sociology) (1Yr)   (1 Years )
Master of Architecture   (2 Years )
Master of Education - Special Education (Autism Spectrum Disorder)   (2 Years )
Master of Fine Arts   (2 Years )
Master of Hospital Administration   (2 Years )
Master of Hospital Administration (Executive) for working professionals   (3 Years )
Master of Interior Design   (2 Years )
Master of Occupational Therapy (Neurology / Geriatrics / Pediatrics)   (2 Years )
Master of Optometry   (2 Years )
Master of Physiotherapy (Orthopedics / Neurology / Pediatrics / Sports Medicine / Cardiopulmonology)   (2 Years )
Master of Planning   (2 Years )
Master of Planning (Urban Planning)   (2 Years )
Master of Planning (Urban & Regional Planning)   (2 Years )
Master of Public Health   (2 Years )
Master of Science (Biotechnology) - GATB   (2 Years )
Master of Science (Speech Language Pathology)   (2 Years )
Master of Social Work   (2 Years )
Master of Statistics   (2 Years )
Master of Tourism & Travel Management   (2 Years )
Master of Travel & Tourism Management   (2 Years )
Master of Urban Design   (2 Years )
Masters of Physiotherapy   (2 Years )
M.A. (Tourism Administration)   (2 Years )
"M.A. (Visual Effects, Animation & Comics)   (2 Years )"
MBA   (2 Years )
MBA (3 Continent)   (2 Years )
MBA (Advertising & PR)   (2 Years )
MBA (Agriculture & Food Business)   (2 Years )
"MBA (Banking, Financial Services & Insurance)   (2 Years )"
MBA (Banking & Finance)   (2 Years )
MBA (Business Analytics)   (2 Years )
MBA (Business Intelligence and Data Analytics)   (2 Years )
MBA (Construction Economics & Quantity Surveying)   (2 Years )
MBA (Construction Project Management)   (2 Years )
MBA (Digital Marketing)   (2 Years )
"MBA (Dubai, USA & UK)   (2 Years )"
MBA (Entrepreneurship)   (2 Years )
MBA (Executive)    (1 Years )
MBA - Executive (for working Professionals)   (2 Years )
MBA (Executive) Part Time   (2 Years )
MBA (Family Business & Entrepreneurship)   (2 Years )
MBA (Fashion Management)   (2 Years )
MBA (Finance)   (2 Years )
MBA (Financial Technology)   (2 Years )
MBA ( Hospital & Healthcare Management)   (2 Years )
MBA (Hospitality Management)   (2 Years )
MBA (HR)   (2 Years )
MBA(International)   (2 Years )
MBA (International Business)   (2 Years )
MBA (International Business with Artificial Intelligence)   (2 Years )
MBA (Logistics)   (2 Years )
MBA (Logistics & Supply Chain Management)   (2 Years )
MBA (Marketing & Sales)   (2 Years )
MBA (Media Management)   (2 Years )
MBA (Natural Resources & Sustainable Development)   (2 Years )
MBA(Real Estate and Urban Infrastructure)   (2 Years )
MBA (Supply Chain Analytics and Management)   (2 Years )
MBA (Sustainability Management)   (2 Years )
MCA   (2 Years )
